Post Title,Time Posted,Post Link,Image URL,Description,Classification,Quotes 1,Quotes 2,Quotes 3,Quotes 4,Quotes 5,Quotes 6,Quotes 7,Quotes 8,Quotes 9,Quotes 10,Quotes 11,Quotes 12,Quotes 13
"VERA FILES FACT CHECK: Post claiming moms, housewives to get P10k monthly from gov’t is FAKE",2021-09-22T18:51:00+00:00,https://verafiles.org/articles/vera-files-fact-check-post-claiming-moms-housewives-get-p10k,https://verafiles.org/wp-content/uploads/7216/32/092121-fake-p10k-for-moms_3.png,VERA Files Fact Check debunked a similar post in August.,FAKE,"“DOOR TO DOOR PAYOUT PARA SA 10K MONTHLY ALLOWANCE SA NANAY AT HOUSEWIFE, SINIMULAN NA NGAYONG ARAW! NARITO ANG DETALYE (Door to door payout for P10K monthly allowance for mothers and housewives starts today! Here are the details).”",,,,,,,,,,,,
"VERA FILES FACT CHECK: NO, senior citizens, PWDs won’t receive P10k monthly",2021-09-28T14:26:00+00:00,https://verafiles.org/articles/vera-files-fact-check-no-senior-citizens-pwds-wont-receive-p,https://verafiles.org/wp-content/uploads/4016/32/092321-fake-p10k-for-senior-citizens-pwd.png,"No law has been passed where the two vulnerable groups are to receive a monthly allowance of P10,000 from the state.",FAKE,"“P10K MONTHLY ALLOWANCE PARA SA MGA SENIOR CITIZENS AT PWD, APRUBADO NA (P10k monthly allowance for senior citizens and PWDs, approved)!”",,,,,,,,,,,,
"VERA FILES FACT CHECK: Isko Moreno DID NOT discriminate vs Visayans, Mindanaoans",2021-09-28T19:28:00+00:00,https://verafiles.org/articles/vera-files-fact-check-isko-moreno-did-not-discriminate-vs-vi,https://verafiles.org/wp-content/uploads/1016/32/092721-fake-isko-moreno-exclusionist_WEB_copy.png,Moreno made no such statements.,FAKE,"“Anyone can be vaccinated, provided with tocilizumab, or admitted in hospitals even if they don’t reside in Manila,”",“Huwag po tayo magpalinlang sa mga fake news na lumalabas ngayon sa social media. Ito po ay gawa-gawa lamang (Let’s not be fooled by fake news appearing on social media today. This is made up).”,“HINDI UUBRA SA AMING MGA TAGA TONDO YANG MGA TAGA MINDANAO (Those from Mindanao won’t stand a chance against Tondo [Manila] residents).”,,,,,,,,,,
VERA FILES FACT CHECK: FAKE photo of ‘Sara in 2022’ newspaper headline revived,2021-10-06T14:19:00+00:00,https://verafiles.org/articles/vera-files-fact-check-fake-photo-sara-2022-newspaper-headlin,https://verafiles.org/wp-content/uploads/2816/33/100421-fake-sara-fake-pstar-headline_web-copy.png,It resurfaced as candidates for the May 2022 polls formalized their intentions to contest the elections.,FAKE,,,,,,,,,,,,,
VERA FILES FACT CHECK: Robredo quote card on 2016 election cheating is FAKE,2021-10-13T20:44:00+00:00,https://verafiles.org/articles/vera-files-fact-check-robredo-quote-card-2016-election-cheat,https://verafiles.org/wp-content/uploads/2216/34/101321-fake-leni-nandaya.png,This post is fake. Don't believe it.,FAKE,“I won’t win. I’m not well-known.”,“We’ll take care of it. We have the machinery.”,"“Opo! Dinaya namin si Bongbong! Kina-usap ako ni Mar at hinimok akong tumakbo bilang VP niya. ‘Ang sabi ko, Hindi ako mananalo. Hindi ako masyadong kilala.’ Ang sabi naman niya, ‘kami ang bahala. Nasa atin ang makinarya.’”",,,,,,,,,,
VERA FILES FACT CHECK: FAKE blog site baits netizens with cash aid offer,2021-10-15T16:28:00+00:00,https://verafiles.org/articles/vera-files-fact-check-fake-blog-site-baits-netizens-cash-aid,https://verafiles.org/wp-content/uploads/5416/34/100621-fake-10k-ayuda-via-palawan_web-copy.png,The company warned its customers: Palawan Pawnshop is not connected to any online cash or ayuda.,FAKE,“We cannot comment on posts that are not in our official social media accounts and website.”,"“10K AYUDA IPAPADALA SA PALAWAN NGAYONG ARAW MAG PA REGISTER NA (Financial aid worth P10,000 to be sent via Palawan Express today, register now),”",,,,,,,,,,,
VERA FILES FACT CHECK: Photo of Joey De Leon with Leni Robredo bag is FAKE,2021-10-21T10:36:00+00:00,https://verafiles.org/articles/vera-files-fact-check-photo-joey-de-leon-leni-robredo-bag-fa,https://verafiles.org/wp-content/uploads/8016/34/thumbnail-fake-joey-de-leon.png,The bag originally sported a print showing a man wearing a mohawk.,FAKE,“an example for the masses in choosing the right candidate.”,“the true meaning of patriotism.”,“Si Henyo Master Joey de Leon po ang may ari ng bag. Good evening mga Dabarkads!”,,,,,,,,,,
VERA FILES FACT CHECK: Robredo DID NOT SAY suspects should be armed against police,2021-10-21T14:31:00+00:00,https://verafiles.org/articles/vera-files-fact-check-robredo-did-not-say-suspects-should-be,https://verafiles.org/wp-content/uploads/8316/34/101921-fake-robredo-and-suspects-quote.png,It mimicked the quote card template of a local news media group.,FAKE,"“A lot of the agencies have been pouring out tremendous effort and resources already for this [anti-drug] campaign, and yet ganoon pa din kataas iyong numero (the numbers are still high)…Why don’t we reassess?”",“strong national policy against illegal drugs.”,“if the police wants to be armed during raid..i will allow the suspects to carry a gun and use it para po patas ang laban (for a fair fight).”,,,,,,,,,,
VERA FILES FACT CHECK: FAKE posts show Joey De Leon endorsing Robredo,2021-10-21T16:05:00+00:00,https://verafiles.org/articles/vera-files-fact-check-fake-posts-show-joey-de-leon-endorsing,https://verafiles.org/wp-content/uploads/6816/34/102121-fake-joey-de-leon-quote.png,He has addressed the proliferation of “fake” posts using his name to endorse a certain candidate.,FAKE,,,,,,,,,,,,,
VERA FILES FACT CHECK: Hontiveros ‘quote’ on seat belts for motorcyclists is FAKE,2021-10-23T18:24:00+00:00,https://verafiles.org/articles/vera-files-fact-check-hontiveros-quote-seat-belts-motorcycli,https://verafiles.org/wp-content/uploads/3616/34/102321-fake-hontiveros-on-motorcycle-seat-belts.png,The opposition lawmaker said no such thing.,FAKE,"“Wag seryosohin, good vibes lang (Don’t take this seriously, this is just good vibes).”",“news that is not true at all and just a product of an itchy mind.”,“seat belts for motorcycle drivers.”,,,,,,,,,,
VERA FILES FACT CHECK: FB user posts FALSEHOODS about foreign 'Robredo supporter' and Marcos' education,2021-10-30T13:59:00+00:00,https://verafiles.org/articles/vera-files-fact-check-fb-user-posts-falsehoods-about-foreign,https://verafiles.org/wp-content/uploads/3416/35/102721-fake-leni-indian.png,​A look at the FB post's edit history shows it was completely changed after two days.,FAKE,"“comparable, superior, nor equivalent to one.”",“These people are laughing at their own candidate. They’re really stupid!”,"“MGA ARABO, BUMBAY, PAKISTANI, AFGHANISTANI, KAY LENI TAYO! YAHOOOOO (Arabians, Indians, Pakistani, Afghanistans, we’re for Leni)!!! #LetLeniLeadTheBUMBAYatARABO!”",“Shame on (Indian Prime Minister Narendra) Modi.”,,,,,,,,,
VERA FILES FACT CHECK: Netizens mock Robredo for FAKE quote on teenage pregnancy,2021-11-06T17:23:00+00:00,https://verafiles.org/articles/vera-files-fact-check-netizens-mock-robredo-fake-quote-teena,https://verafiles.org/wp-content/uploads/7116/36/110421-fake-leni-teenage-pregnancy-revived_web-copy.png,A variation of the made-up statement had been debunked by VERA Files Fact Check back in June 2020.,FAKE,,,,,,,,,,,,,
VERA FILES FACT CHECK: Photo of Burj Khalifa lit up ‘for Marcos Jr.’ is FAKE,2021-11-09T12:02:00+00:00,https://verafiles.org/articles/vera-files-fact-check-photo-burj-khalifa-lit-marcos-jr-fake,https://verafiles.org/wp-content/uploads/2016/36/110821-fake-burj-khalifa-bbm_web-copy.png,A banner showing support for Marcos Jr.’s 2022 presidential run was photoshopped at the base of the tower.,FAKE,,,,,,,,,,,,,
VERA FILES FACT CHECK: TikTok video of crowd chanting Marcos’s name in Manila Bay is FAKE,2021-11-11T18:57:00+00:00,https://verafiles.org/articles/vera-files-fact-check-tiktok-video-crowd-chanting-marcoss-na,https://verafiles.org/wp-content/uploads/1616/36/110921-fake-marcos-manila-bay.png,"The video was overlaid with an audio from another TikTok video where a crowd can be heard chanting “Marcos, Marcos pa rin”, with the former senator seen encouraging them to continue chanting his name. This was uploaded last Oct. 25.",FAKE,“BBM LNG [sic] MALAKAS MANILA BAY #MANILA #MANILABAY #bbmfor2022president #BBM.”,,,,,,,,,,,,
"VERA FILES FACT CHECK: FB pages, groups spread FAKE Robredo quote card on face shields",2021-11-12T10:19:00+00:00,https://verafiles.org/articles/vera-files-fact-check-fb-pages-groups-spread-fake-robredo-qu,https://verafiles.org/wp-content/uploads/3816/36/110921-fake-robredo-face-shield-quote.png,"Robredo said no such thing. This post followed her statement in a media briefing where she said: “Sa totoo lang, medyo naasiwa ako na, at this point, issue pa rin sa atin ang face shield. Imbes sana na napagkakagastusan natin ‘yon, idagdag nalang natin sa pondo sa bakuna.” (To be honest, I’m annoyed that the face shield [mandate] is still an issue for us. Instead of buying more, we should increase our funds for the vaccine).",FAKE,"“Sa totoo lang, medyo naasiwa ako na, at this point, issue pa rin sa atin ang face shield. Imbes sana na napagkakagastusan natin ‘yon, idagdag nalang natin sa pondo sa bakuna.”",““Para saakin [sic] kailangan naka face shield din yung mga naka full face helmet kapag nagmo-motor.”,,,,,,,,,,,
VERA FILES FACT CHECK: Pope Francis did NOT express support for a Marcos presidency,2021-11-12T13:22:00+00:00,https://verafiles.org/articles/vera-files-fact-check-pope-francis-did-not-express-support-m,https://verafiles.org/wp-content/uploads/3516/36/111021-fake-pope-francis-on-bbm_web-copy.png,The circulating graphic is a doctored version of a quote card published by ABS-CBN.,FAKE,“BBM is an intelligent leader. I hope he win (sic) in 2022.”,,,,,,,,,,,,
VERA FILES FACT CHECK: ALTERED Robredo quote card draws criticisms from netizens,2021-11-13T13:57:00+00:00,https://verafiles.org/articles/vera-files-fact-check-altered-robredo-quote-card-draws-criti,https://verafiles.org/wp-content/uploads/9916/36/110821-fake-leni-new-year-quote.png,"Robredo never made this statement, though it resembles a real quote she made in a New Year’s video greeting to welcome 2019.",FAKE,"“Panahon ang bagong taon para sa bagong simula (The new year is a time for a new beginning),”",“Napakaganda talaga i-celebrate ang new year tuwing bagong taon (It’s really nice to celebrate the new year every new year).”,,,,,,,,,,,
VERA FILES FACT CHECK: Robredo quote card saying K to 12 needs two more years is FAKE,2021-11-17T14:24:00+00:00,https://verafiles.org/articles/vera-files-fact-check-robredo-quote-card-saying-k-12-needs-t,https://verafiles.org/wp-content/uploads/6216/37/111621-fake-recycled-leni-k-12-quote.png,"The statement in the rehashed graphic is just one of the many fake quotes attributed to Robredo, some of them created to mock her intelligence.",FAKE,“facilities and equipment for the specialized tracks.”,“Kulang pa ang K to 12 education system natin. Kelangan [sic] apat na taon sa Junior HS at apat na taon sa Senior HS.”,,,,,,,,,,,
VERA FILES FACT CHECK: Duterte ‘quote’ asking voters not to support Marcos Jr. is FAKE,2021-11-18T18:02:00+00:00,https://verafiles.org/articles/vera-files-fact-check-duterte-quote-asking-voters-not-suppor,https://verafiles.org/wp-content/uploads/7916/37/111721-duterte-banat-by-quote.png,It surfaced after a pro-Duterte vlogger aired an exclusive interview with the president.,FAKE,"“Kung totoong nirerespeto nyo ako, di nyo iboboto si Bongbong dahil sinungaling yan at magnanakaw ang pamilya nya (If you truly respect me, you wouldn’t vote for Bongbong because he’s a liar and his family are thieves).”",,,,,,,,,,,,
VERA FILES FACT CHECK: Guinness World Records did NOT say pro-Marcos caravan the longest in PH,2021-11-19T10:12:00+00:00,https://verafiles.org/articles/vera-files-fact-check-guinness-world-records-did-not-say-pro,https://verafiles.org/wp-content/uploads/4816/37/111521-fake-bbm-motorcade-guinness.png,The only record held by the Marcoses in the Guinness World Records is the title for the “greatest robbery of a government.”,FAKE,"“greatest robbery of a government,”",“’BBM HAWAK ANG GUINESS (sic) WORLD OF RECORD AS PHILIPPINES LONGEST MOTORCADE CARAVAN!’| ‘LAKAS NG NORTE’ (BBM holds Guiness world record on Philippines’ longest motorcade caravan! | Strength of the North).”,,,,,,,,,,,
VERA FILES FACT CHECK: Sandro Marcos quote card on Duterte’s cocaine blind item is FAKE,2021-11-22T20:19:00+00:00,https://verafiles.org/articles/vera-files-fact-check-sandro-marcos-quote-card-dutertes-coca,https://verafiles.org/wp-content/uploads/1816/37/112221-fake-sandro-marcos-cocaine-quote.png,The president also did not name the person nor provide evidence of the allegation.,FAKE,"“You are too much Mr. President! Kung talagang cocaine addict si dad (Bongbong Marcos), bakit di mo sya naisama sa drug matrix mo (If my dad was really a cocaine addict, why was he not included in your drug matrix)? All I can say your war on drugs was a failure like your face.”",,,,,,,,,,,,
"VERA FILES FACT CHECK: Marcos Jr. did NOT admit to being an ‘addict,’ nor accuse Duterte siblings of shabu use",2021-11-23T17:53:00+00:00,https://verafiles.org/articles/vera-files-fact-check-marcos-jr-did-not-admit-being-addict-n,https://verafiles.org/wp-content/uploads/8516/37/112221-fake-word-war-fake_1.png,The statement attributed to Marcos is made up.,FAKE,“very weak leader … except for the name.”,"“Well, we all go through an adventorous (sic) stage in our lives. During my younger years, I was an addict but l have reformed. It took me 3 years to rehabilitate in London. But then, the President may have forgotten that his own 3 children from his first wife, have gone through the same stage. They were also addicted to shabu at one point of their lives.”",,,,,,,,,,,
VERA FILES FACT CHECK: Altered photos NOT taken during Robredo support caravan,2021-11-24T12:23:00+00:00,https://verafiles.org/articles/vera-files-fact-check-altered-photos-not-taken-during-robred,https://verafiles.org/wp-content/uploads/3116/37/112221-fake-pink-motorcade.png,"The photo was actually taken during a caravan organized two days before by supporters of the former senator Ferdinand Marcos, Jr., who is also running for president in the May 2022 elections.",FAKE,"“Miyerkules na ulit bukas. Pwede na nating gawin ito, habang suot ang pink na kulay na pinapangarap natin bukas,”",“Tara! Sama ka sa pagbabago! (Come! Join us for change).”,,,,,,,,,,,
