label,article
0,"Nabanggit sa nasabing report na nagharap ng reklamo ang VACC kaugnay ng nawaldas umanong P25 milyon na halaga ng pondo ng bayan sa pamamagitan ng pagmanipula rito. Ayon pa sa ulat, nailabas umano ang magkahiwalay na P10 milyon at P15 milyon mula sa Priority Development Assistance Fund (PDAF) ng dalawang party-list representative ngunit walang nai-deliver na proyekto. Bukod sa gobernador, kinasuhan din sina ABS Party-list Rep. Catalina Leonen-Pizaro, 1 CARE Party-list Rep. Michael Angelo Rivera, Atty. Noel Manuel Lopez, provincial administrator; Ma. Theresa Araneta-Flores, treasurer; Pete Gerald Javier, accountant; Rodrigo Sawit, BAC chairman; Lucila Ambatali, social welfare officer; Teresita Rios, auditor ng Commission on Audit (COA); Atty. Allan Uy; Jimmy Pua, ng Jimmy Pua Enterprises, Inc.; corporate officers ng Sanitary Mart Corporation; Roda Ramirez, GSO inspectorate provincial capitol at iba pa."
1,"""Lumaban po kayo for the sake of your daughter"" Hinikayat ng university lecturer at pro-government blogger na si Sass Rogando Sasot ang common-law wife ni Pangulong Rodrigo DUterte na si Ma'm Honeylet Avacena na maghain ng reklamo laban sa Google sa Estados Unidos para ibunyag kung sino ang nasa likod ng mapanirang propaganda video kung saan idinadawit ang menor de edad na si Veronica ""Kitty"" Duterte sa droga. ""I suggest that you file a case in the US versus Google, concerning this YOutube Account: 'Ang Totoong Narco List',"" sabi ni Sasot. Ang naturang Youtube account ay responsable sa mga mapanirang video ipinagkalat ng mga kumakalaban sa kasalukuyang administrasyon. Matapos maglabas paninira laban kay Presidential son Paolo Duterte, idinawit naman nila sa kalakaran ng droga ang menor de edad at bunsong anak ni Pangulong Duterte na si Kitty. ""Your daugther, a minor, has been defamed through false and malicious Youtube video, claiming your daughter receives drug money,"" ani Sasot Ang unang video ng nasabing Youtube account ay binutata na ng mga taga-suporta ng Pangulo matapos makita ang mga pinekeng pirma sa nasabing video. Umalma na rin ang isang alkalde at sinabing pirma niya ang ginamit sa malisyosong video. Source: Sass Rogando Sasot | PNA | Datu Zamzamin"
0,"Kung noong una ay okey lang sa aktres at hindi niya minasama ang mga kaibigang babae ng kanyang boyfriend at pati na sa text messages ng boylet niya ay hindi nakikialam ang kilalang aktres, lately ay wala nang maitagong sekreto ang boyfriend sa kanya. Lahat daw kasi ng text messages at pati na ang Facebook at Instagram ng boylet niya ay pinakikialaman na ngayon ng aktres. Kaya nga raw nabuko ni Aktres ang mga ipinadalang mensahe sa magandang girl na madalas ka-Facebook ng kasintahan. At ang magandang girl ay kaedad lang ng kanyang boylet. Kaya biglang sinita ni Aktres si Boyfriend, huh!"
0,"LONDON (AP) -- Kinumpirma ng Iron Maiden na ang singer na si Bruce Dickinson ay nagpapagamot upang labanan ang cancer sa dila, at umaasang gagaling kaagad. Ibinahagi ng nasabing banda sa kanilang website noong Huwebes na nalaman ang sakit ng singer nang siya ay komunsulta sa doktor noong Disyembre, at sumailalim sa chemotherapy at radiotherapy sa loob ng pitong linggo."
1,"Habang pinipilit ni Pangulong Rodrigo Duterte na ayusin ang relasyon ng Pilipinas at ng China na nagkalamat noong panahon ni Ex-president Noynoy Aquino, ang mga dating opisyal sa Aquino Administration naman ay naghain ng kaso sa International Criminal Court (ICC) laban kay Chinese President Xi Jinping. Sinamahan nina dating Foreign Affairs Secretary Albert Del Rosario at dating Ombudsman Conchita Carpio MOrales ang ilang mangingisda sa paghahain ng communication sa ICC. ""Though widely publicized, these atrociously inhumane actions of Chinese officials in the South China Sea and within Philippine territory remain unpunished, and it is only the ICC that can exact accountability on behalf of Filipinos and the international community, respecting the rule of law,"" sabi nila. Ayon sa reklamo, nagsasagawa daw ng sistematikong paraan sina Xi at mga opisyal ng China para makontrol ang South China Sea. ""The situation is both unique and relevant because it presents one of the most massive, near permanent and devastating destruction of the environment in humanity's history,"" sabi sa reklamo. Ang bansang Tsina ay hindi bahagi ng Rome Statute, ang nagtatag ng ICC. Ang Pilipinas naman ay kumalas na dito. Noong Marso 17 ay naging opisyal na ang pagtiwalag ng Pilipinas sanaturang korte. Source: ABS | PS"
1,"Lumabas sa Corruption Perception Index (CPI) ranking na less corrupt na ang Pilipinas kumpara sa dati nitong kalagayan. Ayon sa international group na Transparency International (TI), umakyat ng 12 puntos ang Pilipinas. MUla sa ika-111, ngayon ay nasa pang 99 na pwesto na tayo. Nakakuha ng gradong 36 out of 100 ang ating bansa. Kung ang isang bansa ay nakakuha ng 0, iig sabihin nito ay ""highly corrupt"" ito. Maituturing naman na ""very clean"" kung 100 ang grado. Nangunguna ang mga bansang Denmark (88) at New Zealand (87) sa listahan. Habang ang mga bansang SOmalia (10), Syria (13) at Sudan (13) naman ang nasa ibaba. Basahin ang reaksyon ng ilang kababayan natin sa inilathala ng Transpearency International. ""99th na tayo out of 180 countries. This means that humihina na ang corruption sa ating bansa,"" sabi ni D. Juarana. ""We can feel it.,"" sabi ni J. Salamia. ""Great improvements hurrah. Tatay Digong,"" sabi ni H. Paguio. ""Kasalanan na namn ni DUTERTE YAN! magagalit na naman mga dilawan,"" sabi ni A. Santos. Source: CNN Philipines | PTV"
0,Halos 18 koponan ang inaasahang lalahok sa dragon boat race at karamihan sa kanila ay kinabibilangan ng pambansang atleta na napasabak na sa international championships.
1,"Hindi na nakapag-preno ang prominenteng mamamahayag na si Erwin TUlfo laban sa mga bumabatikos kay Pangulong Rodirigo Duterte at binanatan niya ang mga ito sa kanyang radio program. Ibinida ng mamamahayag ang nagawa ng Duterte Administration at sinabi nito na diktador na kung diktador ang Pangulo pero may mga nagagawa naman. ""Sabihin niyong walang ng patutunguhan ang ating bansa. Papunta na sa basurahan. Paanong pupunta sa basurahan kita ninyo ang mga hindi nagawa ng ilang pangulo simula kay Corazon Aquino hanggang kay Benigno Aquno III ang napakasimpleng paglilinis sa Mania Bay. Napakasimple. Hindi ginagamitan ng kung anu-ano iyan. Nagsabi lang ang Pangulo sa Department of Environment and Natural Resources na linisin niyo iyan, pagkatapos maraming dumating na volunteers, e di nalinis ang Manila Bay. Nalinis ang Baseco compound,""sabi ni Tulfo. Ayon kay Tulfo, naniniwala din daw siya sa adhikain ng EDSA pero hindi daw dapat itong baluktutin ng iilan. ""Sasabihin niyo EDSA People Power at bumabalik tayo sa diktadurya. Bumabalik tayo sa martial law. Naniniwala ho ako sa adhikain ng EDSA pero huwag ho natin baluktutin ang diwa ng EDSA dahil pareho-pareho tayo nandoon. Kayo ngawngaw ng ngawngaw, ako ng ko-cover noon. Kaya itigil niyo ang kataranta-han ninyo. Sasabihin niyong diktador ang mama na ito. Walang ng nagawa. Anong walang nagawa? Buksan niyo mga paningin ninyo. Kasi kahit anong gawin ng mama kung sarado ang utak ninyo ay walang mangyayari,"" banat pa ni Tulfo. Basahin ang reaksyon ng ilang kababayan natin sa mga banat ni Tulfo. "" Xia lng nman ang nag iisang presedente na nagbigay ng kapayapaan sa aming mga muslim... Kaya habang buhay nmin yan tatanawin na utang na luob sayo tatay digong Mahal na mahal ka ng taga mindanao,"" sabi ni R. Arsad "" Pag ito si tulfo at si gadon talaga magkasanib pwersa iwan ko nalang kung di pa umiri tumbong ng mga dilawan sa kaka trashtalk ng dalawa... HAHAHAHAHAHAH we filipino people, needed this dictatorship!"" sabi ni J. Wamelda ""Mas ok talaga si president du30 mga bobo at mangmang lang ang nang babastos sa kanya mamatay na kayo lahat ng mga taong bumabatikos sa kanya napaka dami niyang nagawa sa bansa hindi gaya ninyo puro komento puro welga .. bakit hindi kayo maglinis sa mga ilog at sapa pati sa quiapo bridge.. at mag walis sa harapan ng bahay ninyo mga gago ang lilinis ng mga pota wala naman nagawa sa bansa pasahurin lang ng bansa at palamunin lang naman ng pamilya maka salita sa pangulo bakit may nagawa kaba sa bansa?? Bago kayo mag mura at mag batikos sa pangulo tignan ninyo kung ano naging maganda sa mga nagawa niya may mali man siya nagawa sa mga mata ninyo...!! eiiii million to trillion na tao ang natuwa sa lahat ng nagawa niya note lang walang boboto sa lahat ng naka dilaw kahit yung nag sasabing nag wawalis daw sila eh hindi naman...AND I THANK YOU,"" sabi ni M. Bico Source: Erwin Tulfo via Pinoy Kami"
0,"Ipinaaaresto ni Sultan Kudarat Provincial Director Rex De la Rosa si PO2 Pauya Panguat, nakatalaga sa Provincial Public Safety Company, na nahaharap sa kasong frustrated murder matapos barilin si Marlyn De la Cruz noong Enero 28."
0,"Noong Disyembre 30, 2014, ginunita ng bansa ang ika-118 kamatayan ng pambansang bayani, si Dr. Jose Rizal. Sa meron o walang lehislasyon tungkol sa pagiging pambansang bayani ni Rizal, siya ang itinuturing na tunay na bayani ng mga Pinoy. Hindi dapat pagkumparahin sina Rizal at Andres Bonifacio na nagtatag ng Katipunan sapagkat magkaiba ang kanilang pamamaraan ng pagtulong sa bayan na noon ay nasa ilalim ng pamatok ng mga Kastila. Hindi dapat pag-awayan ng mga maka-Bonifacio at maka-Rizal ang kanilang kabayanihan. Sila ay kapwa bayani. Huwag Kang Magnakaw - ito ang adbokasiya ni Manila Archbishop Cardinal Luis Antonio Tagle. Nakasulat ito sa mga T-Shirt ng ilang kaibigang journalist na kasama kong umiinom ng kape matapos ang jogging. Nakasulat din sa T-Shirt ang Exodus 20:15. ""We should not allow corruption and cheating to become part of Filipino culture and the military, "" sabi pa ni Cardinal Tagle."
