text,label
"“Kahapon (Yesterday), Power Mac Center: Officially launched Smartwatch GT20 Ultra imported from the US at a super special price in the Philippines, only PHP 1,099/1 units (PHP 2,199/2 units) on the occasion of opening the 10th branch in Greenbelt Mall. Dahil masikip ang event, nagdulot ng congestion at pagpupumilit, maraming customer ang hindi nakabili at nahimatay pa dahil sa kakulangan ng oxygen (Because the event was overcrowded, causing congestion and struggle, many customers were unable to buy and even passed out due to lack of oxygen).”",FAKE
“SPECIAL REPORT: Carlos Dominguez’s Latest Investment Has Experts in Awe And Big Banks Terrified.” ,FAKE
"“I don’t know why there is a big issue on the 125 million pesos of confidential fund, which my office disbursed in 19 days. In Davao City, where I held office as the Chief Executive for 9 years, I spend 20 million a day and nobody dared to question me. Not the then President and not even the COA. Now that I am the Vice-President, you tell me that I can not spend my confidential fund in a timeframe which I think is feasible. What am I for as a Vice President, if you restrain me?”",FAKE
“PILIPINAS FIGHTER JET BUMANAT NA (PHILIPPINES FIGHTER JET HAS GONE ALL OUT!)”,FAKE
"“Alam niyo best strategy to save money? You go to sleep! libre pa! Wag gumala. Wag mag travel every month. Wag na mag starbucks,” read the concocted quote card attributed to Ang, who is also SMC chief executive officer.(You know what’s the best strategy to save money? You go to sleep! It’s free! Don’t wander. Don’t travel every month. Don’t go to Starbucks.) ",FAKE
“So what if I spent my 125 million pesos confidential funds in 19 days or 11 days as what the COA said? I can spend it in an hour or in a minute if I want to. That money is intended for my office and I can spend it the way I want it to be spent. By its nature it’s CONFIDENTIAL FUNDS and you have no business scrutinizing what is confidential.” ,FAKE
“GRABE ITO! Barko Ng China Coast Guard WASAK NANG TAMAAN Ng Hindi Pa Natutukoy Na SANDATA (This is bad! Chinese Coast Guard ship destroyed by an unidentified weapon)!” ,FAKE
“PCG naubos ang pasensya! Agresibong Chinese militia binomba umano ng water cannon sa Ayungin (PCG lost its patience! Aggressive Chinese militia bombed with water cannons in Ayungin).”,FAKE
"“Full recap of our chase during Hurricane Matthew from Melbourne, FL and Jacksonville Beach, FL on October 6-7, 2016. Includes footage of very strong wind, storm surge, and blowing debris.” ",FAKE
"“Pinayuhan ako ng doktor na uminom ng Japanese barley grass powder araw-araw nang tuluy-tuloy sa loob ng 2 buwan, bubuti ang aking sakit (The doctor advised me to drink Japanese barley grass powder everyday for two months, my sickness will get better).” ",FAKE
"“PANTAWID GUTOM PROGRAM. UCT/CASH CARD/NON POOR. 7K MONTHLY ALLOWANCE LAHAT MAKAKATANGGAP. MAGPALISTA NA NASA LINK ANG FORM (Unconditional cash transfer/cash card/non poor. P7,000 monthly allowance. Everybody will receive it. Register now with the form in the link.) ",FAKE
"“pilipinas mag handa na.. tayo na ang pinaka mayaman sa lahat. PBBM kinuha na ang marcos account sa beldium (sic) $987B(Philippines, get ready… We’re now the richest country ever. President Marcos has got the Marcos account in Belgium [worth] $987 billion).”",FAKE
“Kung magalit kayo sa akin parang ako yung nangako ng 3-6 months at P20 per kilo ng bigas (You’re angry with me as if I’m the one who promised three to six months and P20 per kilo of rice).”,FAKE
"“With the opening of a new platform, BDO Unibank offers all residents of the Philippines an opportunity to earn extra money.”",FAKE
"“Sino ang walang pang pa ayus sa bahay jan mag message kayu sa akin dahil papadalhan ko kayo ng 10k GCASH OR PALAWAN bukas na bukas.” (Who doesn’t have money for house repairs? Send me a message because I will send you P10,000 via GCash or Palawan [Pawnshop] tomorrow.) ",FAKE
